43.764,28.087
78.775,28.348
122.54,28.348
157.55,28.522
201.31,28.696
236.32,28.957
280.09,29.217
315.1,29.391
350.11,29.478
393.87,29.565
437.64,29.826
472.65,29.913
516.41,30
560.18,30.348
595.19,30.696
638.95,30.696
673.96,30.783
717.72,30.609
752.74,30.609
787.75,30.435
796.5,30.261
831.51,30.087
875.27,29.913
910.28,29.739
954.05,29.739
989.06,29.739
1032.8,29.739
1067.8,29.478
1111.6,29.652
1190.4,29.826
1225.4,29.913
1277.9,29.913
1269.1,29.913
1304.2,30.087
1347.9,30.087
1382.9,30.087
1426.7,30.348
1514.2,30.348
1558,30.435
1619.3,30.435
1671.8,30.609
1671.8,30.522
1750.5,30.522
1750.5,30.522
1750.5,30.522
1750.5,30.522
1750.5,30.522
1776.8,30.348
1820.6,30.609
1881.8,30.609
1864.3,30.609
1899.3,30.609
1943.1,30.696
1978.1,30.783
2021.9,30.783
2056.9,30.783
2100.7,30.87
2135.7,30.87
2179.4,30.696
2214.4,30.87
2267,30.957
2293.2,30.957
2337,31.043
2380.7,31.043
2415.8,31.043
2450.8,31.391
2503.3,31.391
2538.3,31.652
2573.3,31.739
2625.8,31.913
2660.8,31.913
2695.8,31.913
2730.9,32
2765.9,32.609
2774.6,32.435
2800.9,32.522
2844.6,32.609
2879.6,32.609
2897.2,32.609
2932.2,32.696
2975.9,33.304
3019.7,33.478
3046,33.565
3089.7,33.652
3133.5,33.826
3168.5,34.087
3212.3,34.261
3256,34.348
3291,34.435
3334.8,34.522
3361.1,34.783
3387.3,35.13
3413.6,35.13
3457.3,35.043
3483.6,35.13
3527.4,35.217
3562.4,35.304
3588.6,35.391
3641.1,35.652
3684.9,36.087
